GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (184)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
mitochondrial potassium ion transmembrane transport (GO:0140141)	4	3	.04	+	83.92	2.33E-05	4.07E-03
tRNA aminoacylation for mitochondrial protein translation (GO:0070127)	8	3	.07	+	41.96	1.07E-04	1.58E-02
arginine catabolic process (GO:0006527)	9	3	.08	+	37.30	1.42E-04	2.00E-02
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539)	11	3	.10	+	30.52	2.32E-04	3.02E-02
mitochondrial protein processing (GO:0034982)	11	3	.10	+	30.52	2.32E-04	3.00E-02
cristae formation (GO:0042407)	15	4	.13	+	29.84	2.08E-05	3.71E-03
respiratory chain complex III assembly (GO:0017062)	12	3	.11	+	27.97	2.88E-04	3.66E-02
mitochondrial respiratory chain complex III assembly (GO:0034551)	12	3	.11	+	27.97	2.88E-04	3.63E-02
mitochondrial fission (GO:0000266)	17	4	.15	+	26.33	3.17E-05	5.29E-03
cytochrome complex assembly (GO:0017004)	40	8	.36	+	22.38	9.07E-09	5.22E-06
respiratory chain complex IV assembly (GO:0008535)	30	6	.27	+	22.38	6.95E-07	2.00E-04
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	46	9	.41	+	21.89	1.23E-09	9.59E-07
inner mitochondrial membrane organization (GO:0007007)	37	7	.33	+	21.17	1.11E-07	4.53E-05
tRNA aminoacylation (GO:0043039)	45	8	.40	+	19.89	2.05E-08	1.03E-05
amino acid activation (GO:0043038)	46	8	.41	+	19.46	2.39E-08	1.12E-05
tRNA aminoacylation for protein translation (GO:0006418)	42	7	.38	+	18.65	2.39E-07	8.45E-05
mitochondrial cytochrome c oxidase assembly (GO:0033617)	25	4	.22	+	17.90	1.19E-04	1.74E-02
glutamine family amino acid catabolic process (GO:0009065)	25	4	.22	+	17.90	1.19E-04	1.73E-02
mitochondrial respiratory chain complex assembly (GO:0033108)	102	15	.91	+	16.46	1.31E-13	6.78E-10
porphyrin-containing compound biosynthetic process (GO:0006779)	30	4	.27	+	14.92	2.24E-04	3.03E-02
tetrapyrrole biosynthetic process (GO:0033014)	30	4	.27	+	14.92	2.24E-04	3.00E-02
NADH dehydrogenase complex assembly (GO:0010257)	62	8	.55	+	14.44	1.92E-07	7.28E-05
mitochondrial respiratory chain complex I assembly (GO:0032981)	62	8	.55	+	14.44	1.92E-07	7.11E-05
aerobic electron transport chain (GO:0019646)	87	11	.78	+	14.15	1.12E-09	9.15E-07
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	92	11	.82	+	13.38	1.92E-09	1.35E-06
ATP synthesis coupled electron transport (GO:0042773)	92	11	.82	+	13.38	1.92E-09	1.30E-06
fatty acid beta-oxidation (GO:0006635)	60	7	.54	+	13.05	2.12E-06	5.40E-04
respiratory electron transport chain (GO:0022904)	115	13	1.03	+	12.65	1.18E-10	1.07E-07
protein targeting to mitochondrion (GO:0006626)	62	7	.55	+	12.63	2.59E-06	6.29E-04
proton motive force-driven mitochondrial ATP synthesis (GO:0042776)	64	7	.57	+	12.24	3.15E-06	7.29E-04
mitochondrial transport (GO:0006839)	149	16	1.33	+	12.02	1.61E-12	3.56E-09
ATP biosynthetic process (GO:0006754)	86	9	.77	+	11.71	1.68E-07	6.54E-05
mitochondrial transmembrane transport (GO:1990542)	58	6	.52	+	11.58	2.18E-05	3.85E-03
mitochondrial membrane organization (GO:0007006)	117	12	1.05	+	11.48	1.73E-09	1.28E-06
apoptotic mitochondrial changes (GO:0008637)	59	6	.53	+	11.38	2.38E-05	4.11E-03
alpha-amino acid catabolic process (GO:1901606)	90	9	.80	+	11.19	2.41E-07	8.31E-05
amino acid catabolic process (GO:0009063)	110	11	.98	+	11.19	1.07E-08	5.93E-06
proton motive force-driven ATP synthesis (GO:0015986)	73	7	.65	+	10.73	7.03E-06	1.50E-03
aerobic respiration (GO:0009060)	161	15	1.44	+	10.43	5.26E-11	5.83E-08
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	97	9	.87	+	10.38	4.33E-07	1.34E-04
